Country Name,Country Code,2020,2021
Aruba,ABW,106766,107195
Africa Eastern and Southern,AFE,677243299,694665117
Afghanistan,AFG,38928341,39835428
Africa Western and Central,AFW,458803476,470898870
Angola,AGO,32866268,33933611
Albania,ALB,2837849,2811666
Andorra,AND,77265,77354
Arab World,ARB,436080728,444517783
United Arab Emirates,ARE,9890400,9991083
Argentina,ARG,45376763,45808747
Armenia,ARM,2963234,2968128
American Samoa,ASM,55197,55103
Antigua and Barbuda,ATG,97928,98728
Australia,AUS,25693267,25739256
Austria,AUT,8916864,8956279
Azerbaijan,AZE,10093121,10145212
Burundi,BDI,11890781,12255429
Belgium,BEL,11544241,11587882
Benin,BEN,12123198,12451031
Burkina Faso,BFA,20903278,21497097
Bangladesh,BGD,164689383,166303494
Bulgaria,BGR,6934015,6899125
Bahrain,BHR,1701583,1748295
"Bahamas, The",BHS,393248,396914
Bosnia and Herzegovina,BIH,3280815,3263459
Belarus,BLR,9379952,9340314
Belize,BLZ,397621,404915
Bermuda,BMU,63893,63867
Bolivia,BOL,11673029,11832936
Brazil,BRA,212559409,213993441
Barbados,BRB,287371,287708
Brunei Darussalam,BRN,437483,441532
Bhutan,BTN,771612,779900
Botswana,BWA,2351625,2397240
Central African Republic,CAF,4829764,4919987
Canada,CAN,38037204,38246108
Central Europe and the Baltics,CEB,102172351,101669618
Switzerland,CHE,8636561,8697723
Channel Islands,CHI,173859,175244
Chile,CHL,19116209,19212362
China,CHN,1411100000,1412360000
Cote d'Ivoire,CIV,26378275,27053629
Cameroon,CMR,26545864,27224262
"Congo, Dem. Rep.",COD,89561404,92377986
"Congo, Rep.",COG,5518092,5657017
Colombia,COL,50882884,51265841
Comoros,COM,869595,888456
Cabo Verde,CPV,555988,561901
Costa Rica,CRI,5094114,5139053
Caribbean small states,CSS,7442291,7481631
Cuba,CUB,11326616,11317498
Curacao,CUW,154947,152369
Cayman Islands,CYM,65720,66498
Cyprus,CYP,1207361,1215588
Czech Republic,CZE,10697858,10703446
Germany,DEU,83160871,83129285
Djibouti,DJI,988002,1002197
Dominica,DMA,71991,72172
Denmark,DNK,5831404,5856733
Dominican Republic,DOM,10847904,10953714
Algeria,DZA,43851043,44616626
East Asia & Pacific (excluding high income),EAP,2114009483,2122086315
Early-demographic dividend,EAR,3332103561,3373866849
East Asia & Pacific,EAS,2361517682,2368622859
Europe & Central Asia (excluding high income),ECA,400895993,401828885
Europe & Central Asia,ECS,922976036,923753699
Ecuador,ECU,17643060,17888474
"Egypt, Arab Rep.",EGY,102334403,104258327
Euro area,EMU,342708355,342566541
Eritrea,ERI,"",""
Spain,ESP,47363419,47326687
Estonia,EST,1329479,1329254
Ethiopia,ETH,114963583,117876226
European Union,EUU,447479493,446946712
Fragile and conflict affected situations,FCS,930004306,952400963
Finland,FIN,5529543,5541696
Fiji,FJI,896444,902899
France,FRA,67379908,67499343
Faroe Islands,FRO,48865,49053
"Micronesia, Fed. Sts.",FSM,115021,116255
Gabon,GAB,2225728,2278829
United Kingdom,GBR,67081000,67326569
Georgia,GEO,3722716,3708610
Ghana,GHA,31072945,31732128
Gibraltar,GIB,33691,33691
Guinea,GIN,13132792,13497237
"Gambia, The",GMB,2416664,2486937
Guinea-Bissau,GNB,1967998,2015490
Equatorial Guinea,GNQ,1402985,1449891
Greece,GRC,10700556,10664568
Grenada,GRD,112519,113015
Greenland,GRL,56367,56653
Guatemala,GTM,16858333,17109746
Guam,GUM,168783,170184
Guyana,GUY,786559,790329
High income,HIC,1240684527,1241374277
"Hong Kong SAR, China",HKG,7481000,7413100
Honduras,HND,9904608,10062994
Heavily indebted poor countries (HIPC),HPC,823480038,845522272
Croatia,HRV,4047680,3899000
Haiti,HTI,11402533,11541683
Hungary,HUN,9750149,9709886
IBRD only,IBD,4862446431,4895295243
IDA & IBRD total,IBT,6571053159,6642614110
IDA total,IDA,1708606728,1747318867
IDA blend,IDB,574159138,586883422
Indonesia,IDN,273523621,276361788
IDA only,IDX,1134447590,1160435445
Isle of Man,IMN,85032,85410
India,IND,1380004385,1393409033
Not classified,INX,"",""
Ireland,IRL,4985674,5028230
"Iran, Islamic Rep.",IRN,83992953,85028760
Iraq,IRQ,40222503,41179351
Iceland,ISL,366463,372295
Israel,ISR,9215100,9364000
Italy,ITA,59449527,59066225
Jamaica,JAM,2961161,2973462
Jordan,JOR,10203140,10269022
Japan,JPN,126261000,125681593
Kazakhstan,KAZ,18755666,19002586
Kenya,KEN,53771300,54985702
Kyrgyz Republic,KGZ,6579900,6694200
Cambodia,KHM,16718971,16946446
Kiribati,KIR,119446,121388
St. Kitts and Nevis,KNA,53192,53546
"Korea, Rep.",KOR,51836239,51744876
Kuwait,KWT,4270563,4328553
Latin America & Caribbean (excluding high income),LAC,590928198,596217644
Lao PDR,LAO,7275556,7379358
Lebanon,LBN,6825442,6769151
Liberia,LBR,5057677,5180208
Libya,LBY,6871287,6958538
St. Lucia,LCA,183629,184401
Latin America & Caribbean,LCN,652365260,658089208
Least developed countries: UN classification,LDC,1057131013,1081504804
Low income,LIC,683532991,701926973
Liechtenstein,LIE,38137,38254
Sri Lanka,LKA,21919000,22156000
Lower middle income,LMC,3318682068,3363196656
Low & middle income,LMY,6494812232,6566551568
Lesotho,LSO,2142252,2159067
Late-demographic dividend,LTE,2316803603,2322070390
Lithuania,LTU,2794885,2795321
Luxembourg,LUX,630419,639070
Latvia,LVA,1900449,1883162
"Macao SAR, China",MAC,649342,658391
St. Martin (French part),MAF,38659,39239
Morocco,MAR,36910558,37344787
Monaco,MCO,39244,39520
Moldova,MDA,2620495,2573928
Madagascar,MDG,27691019,28427333
Maldives,MDV,540542,543620
Middle East & North Africa,MEA,464542370,472494995
Mexico,MEX,128932753,130262220
Marshall Islands,MHL,59194,59618
Middle income,MIC,5811279241,5864624595
North Macedonia,MKD,2072531,2065092
Mali,MLI,20250834,20855724
Malta,MLT,515332,516869
Myanmar,MMR,54409794,54806014
Middle East & North Africa (excluding high income),MNA,396147843,403051615
Montenegro,MNE,621306,620173
Mongolia,MNG,3278292,3329282
Northern Mariana Islands,MNP,57557,57910
Mozambique,MOZ,31255435,32163045
Mauritania,MRT,4649660,4775110
Mauritius,MUS,1265740,1266060
Malawi,MWI,19129955,19647681
Malaysia,MYS,32365998,32776195
North America,NAC,369602177,370203720
Namibia,NAM,2540916,2587344
New Caledonia,NCL,271960,272620
Niger,NER,24206636,25130810
Nigeria,NGA,206139587,211400704
Nicaragua,NIC,6624554,6702379
Netherlands,NLD,17441500,17533405
Norway,NOR,5379475,5408320
Nepal,NPL,29136808,29674920
Nauru,NRU,10834,10873
New Zealand,NZL,5090200,5122600
OECD members,OED,1372980201,1375820281
Oman,OMN,5106622,5223376
Other small states,OSS,31929881,32464282
Pakistan,PAK,220892331,225199929
Panama,PAN,4314768,4381583
Peru,PER,32971846,33359416
Philippines,PHL,109581085,111046910
Palau,PLW,18092,18174
Papua New Guinea,PNG,8947027,9119005
Poland,POL,37899070,37781024
Pre-demographic dividend,PRE,970795671,997158227
Puerto Rico,PRI,3281538,3263584
"Korea, Dem. People's Rep.",PRK,25778815,25887045
Portugal,PRT,10297081,10299423
Paraguay,PRY,7132530,7219641
West Bank and Gaza,PSE,4803269,4922749
Pacific island small states,PSS,2528958,2566494
Post-demographic dividend,PST,1117278019,1116655196
French Polynesia,PYF,280904,282534
Qatar,QAT,2881060,2930524
Romania,ROU,19257520,19115146
Russian Federation,RUS,144073139,143446060
Rwanda,RWA,12952209,13276517
South Asia,SAS,1856882402,1877902324
Saudi Arabia,SAU,34813867,35340680
Sudan,SDN,43849269,44909351
Senegal,SEN,16743930,17196308
Singapore,SGP,5685807,5453566
Solomon Islands,SLB,686878,703995
Sierra Leone,SLE,7976985,8141343
El Salvador,SLV,6486201,6518500
San Marino,SMR,33938,34010
Somalia,SOM,15893219,16359500
Serbia,SRB,6899126,6844078
Sub-Saharan Africa (excluding high income),SSA,1135948313,1165464785
South Sudan,SSD,11193729,11381377
Sub-Saharan Africa,SSF,1136046775,1165563987
Small states,SST,41901130,42512407
Sao Tome and Principe,STP,219161,223364
Suriname,SUR,586634,591798
Slovak Republic,SVK,5458827,5447247
Slovenia,SVN,2102419,2107007
Sweden,SWE,10353442,10415811
Eswatini,SWZ,1160164,1172369
Sint Maarten (Dutch part),SXM,42310,42846
Seychelles,SYC,98462,99202
Syrian Arab Republic,SYR,17500657,18275704
Turks and Caicos Islands,TCA,38718,39226
Chad,TCD,16425859,16914985
East Asia & Pacific (IDA & IBRD countries),TEA,2088186305,2096155040
Europe & Central Asia (IDA & IBRD countries),TEC,462100263,462624055
Togo,TGO,8278737,8478242
Thailand,THA,69799978,69950844
Tajikistan,TJK,9537642,9749625
Turkmenistan,TKM,6031187,6117933
Latin America & the Caribbean (IDA & IBRD countries),TLA,636492840,642239838
Timor-Leste,TLS,1318442,1343875
Middle East & North Africa (IDA & IBRD countries),TMN,391344574,398128866
Tonga,TON,105697,106759
South Asia (IDA & IBRD),TSA,1856882402,1877902324
Sub-Saharan Africa (IDA & IBRD countries),TSS,1136046775,1165563987
Trinidad and Tobago,TTO,1399491,1403374
Tunisia,TUN,11818618,11935764
Turkiye,TUR,84339067,85042736
Tuvalu,TUV,11792,11925
Tanzania,TZA,59734213,61498438
Uganda,UGA,45741000,47123533
Ukraine,UKR,44132049,43814581
Upper middle income,UMC,2492597173,2501427939
Uruguay,URY,3473727,3485152
United States,USA,331501080,331893745
Uzbekistan,UZB,34232050,34915100
St. Vincent and the Grenadines,VCT,110947,111269
"Venezuela, RB",VEN,28435943,28704947
British Virgin Islands,VGB,30237,30423
Virgin Islands (U.S.),VIR,106290,105870
Vietnam,VNM,97338583,98168829
Vanuatu,VUT,307150,314464
World,WLD,7763932702,7836630792
Samoa,WSM,198410,200144
Kosovo,XKX,1790133,1806279
"Yemen, Rep.",YEM,29825968,30490639
South Africa,ZAF,59308690,60041996
Zambia,ZMB,18383956,18920657
Zimbabwe,ZWE,14862927,15092171
