Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,101665,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766,107195
Africa Eastern and Southern,AFE,518468229,532760424,547482863,562601578,578075373,593871847,609978946,626392880,643090131,660046272,677243299,694665117
Afghanistan,AFG,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,39835428
Africa Western and Central,AFW,350556886,360285439,370243017,380437896,390882979,401586651,412551299,423769930,435229381,446911598,458803476,470898870
Angola,AGO,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,33933611
Albania,ALB,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
Andorra,AND,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265,77354
Arab World,ARB,354890097,363156846,371437642,379696477,387899835,396028301,404042892,411942825,419851989,427870273,436080728,444517783
United Arab Emirates,ARE,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400,9991083
Argentina,ARG,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
Armenia,ARM,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,2968128
American Samoa,ASM,56084,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197,55103
Antigua and Barbuda,ATG,88030,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928,98728
Australia,AUS,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25693267,25739256
Austria,AUT,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8956279
Azerbaijan,AZE,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10145212
Burundi,BDI,8675606,8958406,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781,12255429
Belgium,BEL,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11544241,11587882
Benin,BEN,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,12451031
Burkina Faso,BFA,15605211,16081915,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278,21497097
Bangladesh,BGD,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,166303494
Bulgaria,BGR,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6899125
Bahrain,BHR,1240864,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583,1748295
"Bahamas, The",BHS,354936,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248,396914
Bosnia and Herzegovina,BIH,3705478,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,3263459
Belarus,BLR,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314
Belize,BLZ,322465,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621,404915
Bermuda,BMU,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867
Bolivia,BOL,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029,11832936
Brazil,BRA,195713637,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409,213993441
Barbados,BRB,282131,282987,283698,284294,284825,285327,285798,286229,286640,287021,287371,287708
Brunei Darussalam,BRN,388634,393687,398997,404414,409778,414914,419791,424481,428960,433296,437483,441532
Bhutan,BTN,685502,693297,701582,710235,719053,727885,736706,745563,754396,763094,771612,779900
Botswana,BWA,1987106,2015406,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625,2397240
